name,wins,losses,draws,height_cm,weight_kg,SigStrike/Min,SigStrikeAcc%,SigStrikeAbs/Min,SigStrikeDef%,AvgTd/15Min,TdAcc%,TdDef5,AvgSub/15Min
Brianna Fortino,9,3,0,152.4,52.16,3.53,41,3.23,57,2.5,45,66,0
Cory Devela,16,7,0,152.4,83.91,4.07,41,4,47,1.07,12,62,0
Danielle Taylor,9,4,0,152.4,52.16,2.75,29,3.31,71,0.2,20,70,0.2
Marnic Mann,6,2,0,152.4,52.16,1.1,42,4.93,31,1.83,30,16,0
Montserrat Conejo Ruiz,10,4,0,152.4,52.16,0.79,27,4.96,37,2.05,83,33,0.8
Angela Magana,11,9,0,154.94,52.16,1.53,28,4.92,42,0.4,25,28,0.4
Carla Esparza,20,7,0,154.94,52.16,2.16,40,2.69,55,3.22,35,47,0.3
Hannah Cifers,10,7,0,154.94,52.16,4.99,44,5.39,52,0.26,100,64,0.3
Jamie Moyle,4,3,0,154.94,52.16,4.51,51,4,65,1,21,50,0
Janaina Silva,5,1,0,154.94,52.16,0,0,1.5,62,0,0,0,0
Jessica Andrade,25,12,0,154.94,52.16,6.67,50,5.36,54,2.45,54,72,0.4
Jodie Esquibel,6,6,0,154.94,52.16,4.1,31,7.37,52,0.75,21,83,0
Kanako Murata,12,3,0,154.94,52.16,2.15,56,2.4,53,3.38,56,100,0.8
Loma Lookboonmee,8,3,0,154.94,52.16,4.14,58,2.58,52,2.04,50,74,0.2
Naho Sugiyuma,12,5,0,154.94,47.63,2.59,48,2.45,71,2.05,100,66,0
Rin Nakai,19,2,1,154.94,61.23,1.57,33,3.9,60,3,18,75,0.5
Tabatha Ricci,9,2,0,154.94,52.16,4.41,37,4.86,59,3.39,41,71,0.2
Talita Alencar,4,0,1,154.94,52.16,2.33,38,5.8,42,4,16,0,0
Tecia Torres,13,6,0,154.94,52.16,4.74,48,3.59,61,0.66,14,61,0.1
Viviane Pereira,13,2,0,154.94,52.16,2.7,30,4.48,58,0.25,100,28,0.2
Aisling Daly,16,6,0,157.48,52.16,2.92,52,1.4,55,2.15,41,33,0.9
Aleksandra Albu,3,2,0,157.48,52.16,4.83,47,5.56,38,2.27,50,77,0.4
Ariane Carnelossi,14,3,0,157.48,52.16,3.04,40,4.72,43,1.62,55,8,0.3
Charlene Gellner,0,4,0,157.48,56.7,2.01,42,3.24,43,0,0,0,1.7
Denise Gomes,8,3,0,157.48,52.16,4.81,48,3.66,49,1.13,33,47,0.8
Emily Ducote,13,8,0,157.48,52.16,6.93,48,7.98,56,0.25,14,92,0
Hector Sandoval,14,4,0,157.48,56.7,3.31,52,2.33,65,3.49,25,71,1.4
Jenna Castillo,1,0,0,157.48,56.7,3.24,56,2.01,57,1.68,100,100,0
